open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646092800000,0.96170,0.98250,0.96070,0.96590,126390618,1646107199999,122633230.28870,218463,62566550,60720042.29560,0
1646107200000,0.96590,0.97590,0.95110,0.96710,77422099,1646121599999,74692983.14770,155255,38296861,36958247.99520,0
1646121600000,0.96720,0.97240,0.93970,0.95560,112875694,1646135999999,108212225.77090,188277,53121520,50931369.12190,0
1646136000000,0.95570,1.00980,0.95310,0.96760,264992414,1646150399999,258943408.76420,399947,130330427,127404232.27450,0
1646150400000,0.96760,0.97580,0.95150,0.95820,112801007,1646164799999,108757181.97860,193156,53937449,52014750.61070,0
1646164800000,0.95830,0.97200,0.95020,0.96320,71356363,1646179199999,68563032.73790,133899,34785482,33430259.49860,0
1646179200000,0.96330,0.97170,0.94100,0.96630,108952312,1646193599999,103945950.66320,196518,51426809,49077208.98110,0
1646193600000,0.96650,0.97620,0.94550,0.95460,89530516,1646207999999,85927333.95860,156373,43740503,41984276.58570,0
1646208000000,0.95470,0.96800,0.94860,0.96270,76083017,1646222399999,72972067.94600,153141,36188521,34707943.55000,0
1646222400000,0.96270,0.97290,0.93120,0.94500,188504721,1646236799999,179759969.35400,301402,90206280,86013385.75670,0
1646236800000,0.94490,0.95380,0.92630,0.93470,78936593,1646251199999,74234887.00100,164524,37866541,35610631.59580,0
1646251200000,0.93470,0.95150,0.92960,0.93830,53588440,1646265599999,50320368.93810,114626,26176521,24581943.10720,0
1646265600000,0.93830,0.94500,0.91370,0.91960,74270533,1646279999999,69057178.45860,139084,34463270,32062186.68700,0
1646280000000,0.91950,0.93030,0.90620,0.92320,67593605,1646294399999,62146398.01500,138534,33838256,31111421.10980,0
1646294400000,0.92310,0.92740,0.90670,0.91550,66760851,1646308799999,61150731.05150,128256,32633862,29895453.72580,0
1646308800000,0.91530,0.93670,0.89420,0.90250,118125171,1646323199999,108136418.32090,202594,56163698,51444301.45290,0
1646323200000,0.90240,0.90250,0.88230,0.89950,103107393,1646337599999,92285088.88180,184624,49603751,44417675.17450,0
1646337600000,0.89960,0.91050,0.89000,0.90140,65214759,1646351999999,58668878.48340,123604,32796333,29513722.86680,0
1646352000000,0.90130,0.90240,0.86070,0.87350,130531653,1646366399999,114470928.76750,208042,60922148,53412867.07620,0
1646366400000,0.87360,0.87900,0.86320,0.87680,74186737,1646380799999,64610245.82410,124389,38142524,33232393.81230,0
1646380800000,0.87680,0.88970,0.86280,0.88560,80547788,1646395199999,70738222.01400,140158,40964948,35984714.03840,0
1646395200000,0.88560,0.89360,0.86380,0.86770,132796277,1646409599999,116338623.26490,201662,66906376,58614675.48700,0
1646409600000,0.86760,0.88080,0.84710,0.84930,98921418,1646423999999,85626265.10290,160221,47426490,41054138.88740,0
1646424000000,0.84940,0.85150,0.82580,0.84380,96574343,1646438399999,81220143.58590,164667,46796527,39372461.61570,0
1646438400000,0.84380,0.84560,0.81700,0.83800,81984842,1646452799999,68139038.23320,137900,38380908,31914329.42760,0
1646452800000,0.83810,0.85370,0.83050,0.84990,60625970,1646467199999,51152775.24870,97575,31636225,26692779.12730,0
1646467200000,0.84990,0.86800,0.84780,0.86470,63984760,1646481599999,54988463.20250,123142,32261966,27725187.14860,0
1646481600000,0.86480,0.88150,0.85050,0.86010,116375429,1646495999999,100597510.22580,181505,55959981,48387107.52000,0
1646496000000,0.86000,0.87480,0.85790,0.86940,64901514,1646510399999,56319417.78120,124785,31831972,27622129.61980,0
1646510400000,0.86940,0.87280,0.86000,0.86450,46384003,1646524799999,40204216.30780,84446,22815813,19776855.35950,0
1646524800000,0.86440,0.87110,0.85270,0.85460,44665996,1646539199999,38581664.61210,88586,20929588,18080562.08740,0
1646539200000,0.85450,0.86200,0.84150,0.85300,56400024,1646553599999,48126798.14940,110334,25991964,22181039.20840,0
1646553600000,0.85310,0.85430,0.82760,0.83500,87090728,1646567999999,72946390.06180,140281,42297080,35427872.48100,0
1646568000000,0.83500,0.84970,0.83340,0.84070,74527735,1646582399999,62638360.59300,125481,37196325,31255239.51530,0
1646582400000,0.84080,0.84850,0.82800,0.83100,61672595,1646596799999,51773874.62750,110876,30663815,25746437.57900,0
1646596800000,0.83100,0.84710,0.81810,0.82220,79174756,1646611199999,65863893.29200,131973,39960155,33243193.08130,0
1646611200000,0.82220,0.82750,0.80410,0.81020,106315616,1646625599999,86567598.37980,186268,51197475,41698944.18090,0
1646625600000,0.81010,0.82030,0.80330,0.80720,59637708,1646639999999,48518846.15980,95933,29308731,23848491.64700,0
1646640000000,0.80720,0.81880,0.80200,0.81650,64154159,1646654399999,52094237.73470,101328,30790701,25004914.21990,0
