open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1654041600000,0.62630,0.63110,0.59900,0.60140,238099075,1654055999999,146501183.38570,223768,117621448,72397305.58500,0
1654056000000,0.60140,0.61430,0.59370,0.60440,192853258,1654070399999,116371615.70400,182819,98077195,59174189.98670,0
1654070400000,0.60430,0.61920,0.59940,0.60440,190368393,1654084799999,116034348.29110,172671,91542445,55803815.87310,0
1654084800000,0.60440,0.60900,0.56680,0.56780,427104857,1654099199999,251453451.10460,350276,207445487,122254319.67800,0
1654099200000,0.56760,0.56960,0.54910,0.55680,344910650,1654113599999,193579051.48640,280335,165824225,93113132.47890,0
1654113600000,0.55680,0.55910,0.53550,0.55120,236161886,1654127999999,129249647.04380,199339,118720404,65002595.20010,0
1654128000000,0.55130,0.57950,0.54830,0.56280,291602525,1654142399999,164497622.39710,262022,148574549,83833512.23890,0
1654142400000,0.56280,0.57860,0.55250,0.57350,173502571,1654156799999,98001919.48350,177180,89056594,50315869.19050,0
1654156800000,0.57350,0.58670,0.56910,0.58380,207743607,1654171199999,120126489.93870,187859,104980928,60724858.43620,0
1654171200000,0.58370,0.59750,0.55360,0.58770,436650947,1654185599999,250459556.00180,362432,222848584,127861444.70690,0
1654185600000,0.58770,0.59090,0.57590,0.58260,218743184,1654199999999,127725858.33430,180676,111979952,65402963.17600,0
1654200000000,0.58260,0.59000,0.57950,0.58670,137918647,1654214399999,80597368.12510,121982,65271331,38156989.67270,0
1654214400000,0.58660,0.60520,0.57750,0.59070,194812921,1654228799999,115384039.97870,177528,98734150,58485120.12920,0
1654228800000,0.59070,0.59470,0.58100,0.58620,104746673,1654243199999,61524334.59860,104634,50738181,29806819.62940,0
1654243200000,0.58630,0.58950,0.55020,0.55500,275812253,1654257599999,156208999.08890,226626,132513864,75052219.08770,0
1654257600000,0.55490,0.56150,0.53800,0.54550,280090176,1654271999999,153923712.03140,215415,136444568,75003317.03330,0
1654272000000,0.54560,0.56000,0.54390,0.55740,149565868,1654286399999,82757899.48480,115837,74022698,40965917.62440,0
1654286400000,0.55740,0.57540,0.55320,0.55960,158651207,1654300799999,89597729.76750,133916,79234687,44735661.74410,0
1654300800000,0.55960,0.56460,0.54420,0.55120,151770714,1654315199999,84079356.06040,126915,78227449,43341356.14530,0
1654315200000,0.55130,0.56830,0.54910,0.56290,104583145,1654329599999,58759981.23430,95079,55001637,30908969.85710,0
1654329600000,0.56290,0.56800,0.55160,0.55410,115327309,1654343999999,64653072.91380,99941,55402580,31070595.15050,0
1654344000000,0.55410,0.56540,0.54910,0.55980,172780000,1654358399999,96190096.44710,142547,85320690,47503996.85160,0
1654358400000,0.55980,0.56360,0.55240,0.55800,100037890,1654372799999,55802380.56870,87003,49752533,27753253.05660,0
1654372800000,0.55800,0.57150,0.55670,0.56620,123891751,1654387199999,69889736.22850,105227,63988476,36099905.01230,0
1654387200000,0.56630,0.56730,0.55570,0.56470,89460148,1654401599999,50199636.86790,75645,44598039,25030922.95220,0
