open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1672531200000,0.24570,0.24610,0.24390,0.24530,64631854,1672545599999,15831832.87190,24471,29707597,7277741.74930,0
1672545600000,0.24530,0.24540,0.24420,0.24500,44948053,1672559999999,10997608.45130,17481,21984466,5379625.99820,0
1672560000000,0.24500,0.24580,0.24310,0.24570,53940042,1672574399999,13200221.88000,22703,28122219,6883887.08970,0
1672574400000,0.24560,0.24620,0.24480,0.24610,52624212,1672588799999,12920812.46710,22784,26509860,6509939.82350,0
1672588800000,0.24610,0.24960,0.24600,0.24810,97842449,1672603199999,24267666.82160,32072,50618385,12554090.61930,0
1672603200000,0.24820,0.24990,0.24790,0.24980,56877627,1672617599999,14155050.05680,22862,29637869,7377252.58160,0
1672617600000,0.24980,0.25050,0.24640,0.24970,89934240,1672631999999,22309169.15730,30804,44682056,11082173.59970,0
1672632000000,0.24970,0.25580,0.24880,0.25400,130376344,1672646399999,32890318.06570,47066,69910264,17644530.02400,0
1672646400000,0.25390,0.25590,0.25270,0.25390,91694150,1672660799999,23310556.13580,35126,45585561,11589838.95960,0
1672660800000,0.25390,0.25490,0.25230,0.25440,72843043,1672675199999,18475833.70170,27552,36379618,9229708.72560,0
1672675200000,0.25440,0.25530,0.25380,0.25530,55461884,1672689599999,14117092.16320,23560,27069980,6892184.07170,0
1672689600000,0.25520,0.25660,0.25270,0.25350,68583863,1672703999999,17454740.56660,31461,33316496,8482395.46170,0
1672704000000,0.25360,0.25430,0.25140,0.25290,67880207,1672718399999,17159078.82000,25021,33108353,8371842.36160,0
1672718400000,0.25290,0.25480,0.25230,0.25330,51615749,1672732799999,13082170.54110,23789,25410419,6442422.09610,0
1672732800000,0.25330,0.25490,0.25170,0.25360,64461284,1672747199999,16331718.18430,28946,33069658,8378444.27910,0
1672747200000,0.25360,0.25530,0.25200,0.25360,110062470,1672761599999,27916937.06310,40301,54629566,13858790.79970,0
1672761600000,0.25360,0.25400,0.25000,0.25060,107144090,1672775999999,26945172.87260,39685,53409560,13434033.03190,0
1672776000000,0.25060,0.25290,0.25050,0.25260,46025414,1672790399999,11576877.78700,24289,24686705,6210244.43790,0
1672790400000,0.25250,0.26560,0.25160,0.26460,251571807,1672804799999,65234299.21120,87703,139296179,36086678.98170,0
1672804800000,0.26460,0.26600,0.26230,0.26540,119566007,1672819199999,31574150.74210,45099,60905423,16088187.30890,0
1672819200000,0.26550,0.26750,0.26310,0.26410,153922767,1672833599999,40832520.37570,49113,76293863,20247229.45820,0
1672833600000,0.26410,0.26910,0.26310,0.26800,164095574,1672847999999,43602553.19100,54676,88283759,23466539.88870,0
1672848000000,0.26800,0.27080,0.26440,0.26620,223965951,1672862399999,59979498.19830,69046,114626926,30708232.67460,0
1672862400000,0.26620,0.26790,0.26160,0.26750,111857367,1672876799999,29656410.03310,39631,55743415,14786122.24100,0
1672876800000,0.26750,0.26860,0.26450,0.26530,105276936,1672891199999,28058090.48100,36230,49847694,13288063.42340,0
1672891200000,0.26530,0.27150,0.26450,0.26630,156182084,1672905599999,41837233.05490,54778,87714313,23505053.94610,0
1672905600000,0.26640,0.26700,0.26300,0.26630,98286652,1672919999999,26070186.47870,39245,50419661,13376085.45780,0
1672920000000,0.26620,0.26730,0.26440,0.26530,133720711,1672934399999,35570228.51470,45180,65487955,17421742.05540,0
1672934400000,0.26530,0.26970,0.26450,0.26880,94198966,1672948799999,25130538.12820,34941,50316168,13425270.32350,0
1672948800000,0.26890,0.27030,0.26770,0.26910,101984217,1672963199999,27426279.31620,38613,51943882,13970092.34330,0
1672963200000,0.26910,0.27720,0.26860,0.27340,314870755,1672977599999,85960005.15300,96584,163610005,44656671.36420,0
1672977600000,0.27330,0.27520,0.27010,0.27160,206678275,1672991999999,56366696.56410,70487,102720416,28013494.98130,0
1672992000000,0.27160,0.27280,0.26830,0.27020,199927376,1673006399999,54155021.00520,68948,94567055,25618491.28080,0
1673006400000,0.27020,0.27450,0.26700,0.27320,358634867,1673020799999,96933371.04710,100976,179797473,48603258.09010,0
1673020800000,0.27320,0.27630,0.27180,0.27620,235640388,1673035199999,64492489.16160,66753,120890808,33096699.82530,0
1673035200000,0.27630,0.27980,0.27280,0.27840,187727407,1673049599999,51857701.41760,65162,97010521,26809633.40440,0
1673049600000,0.27830,0.28080,0.27610,0.27660,124359907,1673063999999,34569578.36120,46148,55689310,15487130.59340,0
1673064000000,0.27660,0.27820,0.27570,0.27640,53315987,1673078399999,14762569.59600,26605,26958194,7466171.39110,0
1673078400000,0.27640,0.27660,0.27330,0.27450,86745928,1673092799999,23823860.40550,39299,42082739,11556924.66230,0
1673092800000,0.27450,0.27510,0.27200,0.27490,106342093,1673107199999,29071492.62870,44906,56184048,15361513.54310,0
1673107200000,0.27490,0.27750,0.27350,0.27690,73564189,1673121599999,20247996.13250,31038,37437407,10308298.88650,0
1673121600000,0.27700,0.27790,0.27560,0.27660,74572394,1673135999999,20633366.19170,30646,35648896,9863776.44450,0
1673136000000,0.27670,0.27890,0.27400,0.27580,118298160,1673150399999,32650564.81070,46154,59340315,16380780.15950,0
1673150400000,0.27580,0.27760,0.27520,0.27650,51052025,1673164799999,14103392.23370,26225,26866838,7421872.91090,0
1673164800000,0.27640,0.28780,0.27590,0.28520,346964962,1673179199999,98215043.92130,121891,180991114,51228810.36210,0
1673179200000,0.28510,0.28960,0.28510,0.28780,342397268,1673193599999,98419790.34390,103051,172938075,49717725.38830,0
1673193600000,0.28780,0.29390,0.28540,0.28970,340279486,1673207999999,98462345.79140,104906,172963492,50061913.40630,0
1673208000000,0.28980,0.30850,0.28950,0.29750,316072392,1673222399999,92749900.73900,106805,175116913,51454077.16130,0
1673222400000,0.29750,0.34670,0.29540,0.32950,1273607593,1673236799999,410174350.90600,427051,659758585,212465171.03070,0
1673236800000,0.32960,0.33310,0.32350,0.32560,247708062,1673251199999,81482210.35620,101111,116942716,38477112.06620,0
1673251200000,0.32560,0.32910,0.32130,0.32160,269606786,1673265599999,87686771.20310,104160,133414879,43401468.28390,0
1673265600000,0.32160,0.32580,0.31640,0.32070,306947791,1673279999999,98539634.56800,114163,153805029,49398620.60390,0
1673280000000,0.32070,0.32490,0.31380,0.31550,307793402,1673294399999,98354087.69820,111919,154298196,49304479.11310,0
1673294400000,0.31550,0.31870,0.31040,0.31680,334972987,1673308799999,105463606.00960,116351,178309490,56159410.21470,0
1673308800000,0.31680,0.32210,0.30600,0.31380,339653816,1673323199999,106924181.88820,119657,162515272,51175901.52740,0
1673323200000,0.31390,0.31680,0.31240,0.31520,121794192,1673337599999,38355829.84140,52344,61425520,19345794.53980,0
1673337600000,0.31530,0.32090,0.31400,0.31800,167598604,1673351999999,53321623.16080,70072,88675624,28213349.67580,0
1673352000000,0.31790,0.32200,0.31320,0.32030,294874884,1673366399999,93449108.18230,97368,142305751,45108386.62140,0
1673366400000,0.32030,0.32480,0.31530,0.32360,211099195,1673380799999,67628401.99580,79375,106900839,34266160.30110,0
