open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1651363200000,0.75480,0.77540,0.74410,0.76360,148230664,1651377599999,112568422.02510,217530,73945930,56173890.01500,0
1651377600000,0.76360,0.77800,0.76030,0.76730,61122231,1651391999999,47033114.76600,102817,31043747,23890154.08920,0
1651392000000,0.76730,0.77640,0.76680,0.76970,41324771,1651406399999,31904779.53950,88779,20420307,15763753.16500,0
1651406400000,0.76980,0.79240,0.76570,0.79040,67303091,1651420799999,52252090.05940,116338,34506595,26792191.82750,0
1651420800000,0.79050,0.79960,0.76780,0.77030,102088588,1651435199999,80237397.52440,160321,51151865,40189810.45360,0
1651435200000,0.77030,0.79290,0.76770,0.78870,84733311,1651449599999,66242744.52770,126992,42221043,33002940.41450,0
1651449600000,0.78880,0.79630,0.77880,0.78320,75874240,1651463999999,59780789.39350,98933,34822616,27449170.20740,0
1651464000000,0.78310,0.79590,0.78090,0.78730,56894369,1651478399999,44875765.50530,86170,28687071,22626651.95060,0
1651478400000,0.78740,0.79170,0.76890,0.77110,60961287,1651492799999,47570371.54890,101023,30004454,23416493.04250,0
1651492800000,0.77110,0.78580,0.76700,0.77510,121791272,1651507199999,94700296.81130,198900,58918270,45819303.67190,0
1651507200000,0.77520,0.77940,0.76270,0.77700,77924684,1651521599999,60186676.94810,138117,39481568,30499647.74450,0
1651521600000,0.77700,0.79110,0.77280,0.78040,52486324,1651535999999,41035194.03920,85141,26451995,20682972.92120,0
1651536000000,0.78040,0.79170,0.77510,0.78850,56679561,1651550399999,44381059.17180,93928,29633484,23201499.07640,0
1651550400000,0.78850,0.79400,0.78260,0.78560,44162619,1651564799999,34821510.64410,75884,22293425,17580681.61820,0
1651564800000,0.78570,0.79920,0.78180,0.79660,42737712,1651579199999,33708884.62190,76309,21497783,16961973.65020,0
1651579200000,0.79650,0.79780,0.78500,0.79000,69713346,1651593599999,55161980.69950,112474,34198638,27062981.15970,0
1651593600000,0.79000,0.79220,0.75980,0.76290,96354732,1651607999999,74643484.53740,149970,44438757,34437285.80460,0
1651608000000,0.76300,0.77580,0.76000,0.77060,59247074,1651622399999,45456702.34500,93689,28324574,21735820.79970,0
1651622400000,0.77050,0.78230,0.76700,0.78000,50490324,1651636799999,39205135.21880,82008,25380541,19705558.46560,0
1651636800000,0.78010,0.79340,0.77560,0.79240,68330980,1651651199999,53477212.59370,103189,37255750,29162136.73290,0
1651651200000,0.79240,0.83340,0.79120,0.82220,168050675,1651665599999,136124715.78400,239563,88311905,71521291.34280,0
1651665600000,0.82220,0.83630,0.81440,0.82840,212426130,1651679999999,175168212.90760,299181,110219557,90895684.41300,0
1651680000000,0.82840,0.87450,0.82320,0.86660,299068627,1651694399999,253603227.00390,451556,150467441,127589511.55270,0
1651694400000,0.86670,0.89910,0.86590,0.89830,147084332,1651708799999,130143821.27850,212245,76078956,67331056.36480,0
1651708800000,0.89840,0.90560,0.88320,0.88520,153937330,1651723199999,137873905.04390,209903,80336728,71962828.31960,0
1651723200000,0.88530,0.88620,0.86020,0.87390,147716982,1651737599999,128702884.43200,213944,76202312,66398789.02970,0
1651737600000,0.87380,0.87870,0.85520,0.85780,81616214,1651751999999,70861573.72680,143564,38122605,33106285.65350,0
1651752000000,0.85780,0.86480,0.78010,0.78990,333467251,1651766399999,274625459.39200,467344,160912798,132690347.90560,0
1651766400000,0.78990,0.80500,0.77050,0.79740,265701770,1651780799999,210041669.68680,373179,128979913,101981985.14710,0
1651780800000,0.79740,0.80260,0.78210,0.78770,114928720,1651795199999,91159184.69800,141307,55197117,43773840.13460,0
1651795200000,0.78760,0.79480,0.77380,0.79170,101992931,1651809599999,80148298.99720,133194,49748354,39098831.95350,0
1651809600000,0.79180,0.79710,0.77240,0.79010,130296000,1651823999999,102680898.03100,175378,66758614,52618072.76410,0
1651824000000,0.79010,0.79950,0.77110,0.77850,164655445,1651838399999,129771726.15430,233908,81304768,64098226.14690,0
1651838400000,0.77850,0.79580,0.76140,0.78090,222434735,1651852799999,173138731.23810,356123,107679014,83837654.85390,0
1651852800000,0.78080,0.78890,0.77500,0.78400,82764978,1651867199999,64738228.10260,138161,39281486,30723860.78550,0
1651867200000,0.78400,0.79050,0.77650,0.78290,54973555,1651881599999,43074367.09900,82115,26212030,20539909.85500,0
1651881600000,0.78280,0.78490,0.77000,0.77190,62271787,1651895999999,48453403.02480,90291,30543623,23766361.80290,0
1651896000000,0.77200,0.77870,0.76270,0.77680,57619325,1651910399999,44390329.51040,96952,26753102,20610944.94790,0
1651910400000,0.77680,0.78490,0.77430,0.78290,51826656,1651924799999,40405494.56640,83522,24990132,19482749.01430,0
1651924800000,0.78300,0.78550,0.77510,0.77970,56443828,1651939199999,44010264.50160,78637,27678429,21582185.54970,0
1651939200000,0.77960,0.78110,0.77040,0.77750,44405840,1651953599999,34473562.43240,62491,22197697,17233687.54120,0
1651953600000,0.77740,0.77790,0.74560,0.75990,150833630,1651967999999,114952066.86600,191979,71890946,54811381.28370,0
1651968000000,0.75980,0.76600,0.73050,0.74000,163716087,1651982399999,121974156.09690,229262,77352594,57658868.32630,0
1651982400000,0.73990,0.74930,0.73530,0.74210,69755423,1651996799999,51787620.31340,99274,33042401,24530781.65420,0
1651996800000,0.74220,0.75010,0.73730,0.74470,56525794,1652011199999,42058990.17890,76258,27696090,20606990.76850,0
1652011200000,0.74470,0.74860,0.73250,0.73790,92920203,1652025599999,68810240.49770,114926,46263065,34270631.03610,0
1652025600000,0.73790,0.76120,0.72460,0.75600,152489225,1652039999999,112976881.85740,174973,77311712,57319953.89260,0
1652040000000,0.75590,0.75820,0.73600,0.73990,82550265,1652054399999,61721831.97520,103720,41409025,30962923.56530,0
1652054400000,0.74000,0.75400,0.70420,0.70590,266427471,1652068799999,192735605.74940,342960,122325635,88590468.28210,0
1652068800000,0.70590,0.71670,0.68910,0.69070,163386489,1652083199999,114379278.32510,233658,71433831,50032888.11920,0
1652083200000,0.69060,0.69630,0.65000,0.66960,255133628,1652097599999,171109522.81760,353864,118149898,79238634.89950,0
1652097600000,0.66960,0.67500,0.64960,0.65900,219267513,1652111999999,145370177.64980,305804,112922242,74873548.91390,0
1652112000000,0.65890,0.66600,0.60950,0.62550,478839925,1652126399999,303710676.84240,596724,234588626,148849595.91670,0
1652126400000,0.62560,0.65880,0.59500,0.60120,319740971,1652140799999,202277342.09610,387784,157437843,99652132.29440,0
1652140800000,0.60110,0.64370,0.58200,0.61910,457178164,1652155199999,283422976.35200,594874,231546167,143657899.97320,0
1652155200000,0.61900,0.70000,0.61650,0.67180,314143182,1652169599999,208335287.16740,453694,160246645,106325657.02060,0
1652169600000,0.67180,0.69000,0.66260,0.67850,207986143,1652183999999,140413232.63410,267345,106032174,71601886.85500,0
1652184000000,0.67860,0.69420,0.65110,0.66380,290382119,1652198399999,195586248.71100,350790,147070395,99059311.10540,0
1652198400000,0.66390,0.67700,0.64670,0.65050,156269133,1652212799999,103389081.81130,233227,78007153,51606873.76260,0
1652212800000,0.65050,0.65160,0.60650,0.62810,252604625,1652227199999,158133265.61230,305334,121726519,76194710.28140,0
1652227200000,0.62810,0.64150,0.61030,0.62700,176205447,1652241599999,110478393.42410,234071,84969528,53260289.28920,0
1652241600000,0.62700,0.63920,0.59040,0.60860,213564999,1652255999999,131159691.12660,301218,107695513,66102678.73660,0
1652256000000,0.60860,0.66350,0.60130,0.61980,261746062,1652270399999,166394635.94200,360175,135017090,85814456.80870,0
1652270400000,0.61950,0.63650,0.52850,0.57230,736664363,1652284799999,432173770.38190,732928,365158428,214193441.60900,0
1652284800000,0.57220,0.57920,0.52230,0.52660,314632654,1652299199999,173388608.45190,386834,160544713,88520024.48680,0
1652299200000,0.52660,0.53620,0.47210,0.51760,463255070,1652313599999,236833882.98570,525220,227351643,116356006.78710,0
1652313600000,0.51770,0.54990,0.44010,0.44060,372066130,1652327999999,187515410.00870,480284,180546417,91251068.15130,0
1652328000000,0.44060,0.47180,0.40090,0.45780,583558170,1652342399999,251511715.64440,685403,284260915,122542650.50240,0
1652342400000,0.45790,0.48650,0.43010,0.46050,351632065,1652356799999,160009508.56070,490764,181269383,82501054.15810,0
1652356800000,0.46040,0.50390,0.44640,0.47900,298338004,1652371199999,140724680.70310,369586,150401816,70978253.34670,0
1652371200000,0.47910,0.51450,0.47230,0.48580,250275076,1652385599999,123171693.04980,274587,126546249,62240917.23800,0
1652385600000,0.48570,0.49300,0.45140,0.47300,201640783,1652399999999,94169167.80870,196912,94389450,44033644.72740,0
1652400000000,0.47310,0.55370,0.46830,0.54610,327854280,1652414399999,168408951.68870,344169,169833368,87303793.63690,0
1652414400000,0.54610,0.60860,0.53650,0.56470,289238300,1652428799999,166357455.69680,337685,146321634,84168681.88290,0
1652428800000,0.56490,0.59120,0.56470,0.58640,205663798,1652443199999,118456131.95950,222283,105338041,60701682.93980,0
1652443200000,0.58650,0.59140,0.55610,0.56790,234707639,1652457599999,134810877.79680,290911,116341229,66844378.14220,0
1652457600000,0.56800,0.57930,0.54030,0.55320,191488259,1652471999999,106364933.46520,277889,98476137,54744838.18610,0
1652472000000,0.55330,0.55930,0.52310,0.52860,151818744,1652486399999,82390778.86890,171475,75816679,41137147.89370,0
1652486400000,0.52850,0.55680,0.52770,0.54470,132310199,1652500799999,71748399.79170,151894,63497896,34421892.89970,0
1652500800000,0.54470,0.54530,0.52410,0.53170,81924154,1652515199999,43740597.02680,115668,41698014,22267832.14670,0
1652515200000,0.53160,0.53880,0.49850,0.51040,156042750,1652529599999,80632560.56520,191947,82545108,42665842.89820,0
1652529600000,0.51030,0.51210,0.48820,0.49400,132439353,1652543999999,66045222.48200,152294,65188543,32525169.98800,0
1652544000000,0.49400,0.52880,0.48870,0.51360,156703407,1652558399999,80592124.34150,204629,79206881,40734821.70020,0
1652558400000,0.51360,0.54150,0.51240,0.53700,131234945,1652572799999,69399321.87320,150994,64583761,34159845.48840,0
1652572800000,0.53710,0.54120,0.51420,0.51970,95500431,1652587199999,50284510.83050,112098,47678161,25109952.63520,0
1652587200000,0.51960,0.54440,0.51520,0.53450,80768853,1652601599999,42905259.04900,96561,38129981,20248503.46920,0
1652601600000,0.53440,0.56240,0.53010,0.55780,125697773,1652615999999,68334018.09450,136135,64476770,35045604.42580,0
1652616000000,0.55780,0.56650,0.54160,0.54620,150075828,1652630399999,82982732.10930,167423,73927781,40884942.11490,0
1652630400000,0.54630,0.58100,0.54390,0.57950,121565567,1652644799999,68517731.45320,142160,62628810,35333322.34890,0
1652644800000,0.57940,0.59950,0.57130,0.59770,179108675,1652659199999,105222098.97080,182328,88844660,52231932.56230,0
1652659200000,0.59770,0.61410,0.57510,0.57810,217591347,1652673599999,128707998.32710,232017,109356748,64684195.09380,0
1652673600000,0.57810,0.58130,0.55100,0.56010,165243675,1652687999999,93461404.76670,188112,82858789,46863959.09990,0
1652688000000,0.56000,0.57700,0.55260,0.56410,156326772,1652702399999,88383628.46190,183149,75477195,42681234.64440,0
1652702400000,0.56420,0.57910,0.54340,0.55480,205877655,1652716799999,115556015.92820,251441,103388071,58066303.95360,0
