open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1656633600000,219.430,226.660,217.490,221.020,642436.87,1656647999999,143399150.88146,243644,332207.05,74134657.18843,0
1656648000000,221.030,223.140,217.530,222.780,382799.64,1656662399999,84259033.10519,165549,206598.38,45490353.85193,0
1656662400000,222.800,224.890,216.890,218.530,431014.45,1656676799999,95203069.93876,160143,208832.39,46109212.11630,0
1656676800000,218.560,219.180,213.310,214.760,468261.27,1656691199999,101288825.28799,179773,236858.68,51258749.69170,0
1656691200000,214.750,218.600,214.360,217.570,247858.02,1656705599999,53759904.34046,99533,121057.98,26260373.97246,0
1656705600000,217.560,220.770,215.280,216.650,226842.25,1656719999999,49516526.70790,92045,114844.28,25073764.95520,0
1656720000000,216.690,218.740,213.590,214.630,315988.04,1656734399999,68100175.58039,135754,157699.24,33999547.06320,0
1656734400000,214.640,216.920,214.460,215.130,133518.18,1656748799999,28830853.67440,63241,68560.47,14804885.30510,0
1656748800000,215.130,218.460,214.250,216.700,224437.08,1656763199999,48593934.17866,92865,117358.49,25413066.98886,0
1656763200000,216.690,217.590,214.310,215.910,275099.68,1656777599999,59455832.84029,107246,138981.22,30037274.55960,0
1656777600000,215.900,219.240,215.040,218.060,213590.11,1656791999999,46427129.85176,84943,107776.54,23427940.41976,0
1656792000000,218.060,219.680,217.230,218.140,130996.82,1656806399999,28621941.67790,53912,65347.46,14278680.47550,0
1656806400000,218.150,219.250,216.350,218.880,149180.69,1656820799999,32488522.39020,63095,76174.06,16590124.26050,0
1656820800000,218.870,219.730,213.930,218.270,333937.69,1656835199999,72766769.46655,120199,165922.50,36163322.41756,0
1656835200000,218.250,218.470,216.040,218.040,176316.42,1656849599999,38318786.13920,67844,83845.07,18223678.82610,0
1656849600000,218.060,218.590,214.000,214.450,260366.84,1656863999999,56114923.61109,97339,125720.26,27100292.62310,0
1656864000000,214.450,219.340,214.290,218.700,210102.35,1656878399999,45506421.55106,78602,104472.60,22639650.60866,0
1656878400000,218.730,220.200,218.120,218.970,251204.62,1656892799999,55066867.17000,89639,137225.21,30084400.25830,0
1656892800000,218.950,219.790,214.500,215.470,229767.40,1656907199999,49840671.07759,91179,114829.39,24915058.97620,0
1656907200000,215.470,217.540,214.910,216.560,159498.74,1656921599999,34513045.14990,69174,78997.42,17096406.16760,0
