open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1661990400000,7.025,7.081,6.938,6.985,3588409.2,1662004799999,25177933.5002,59699,1661050.7,11653329.9812,0
1662004800000,6.985,7.047,6.903,6.954,3019593.3,1662019199999,21064681.5275,50422,1434448.4,10009328.5200,0
1662019200000,6.954,7.081,6.917,7.060,2979906.0,1662033599999,20858423.8701,49606,1537087.7,10758453.1406,0
1662033600000,7.060,7.075,6.851,6.954,5860466.5,1662047999999,40779736.5317,86760,2824453.5,19652251.1109,0
1662048000000,6.953,7.070,6.917,7.051,3714890.9,1662062399999,26017693.3029,57063,1920832.7,13455664.4928,0
1662062400000,7.051,7.199,7.051,7.177,3789452.4,1662076799999,27073848.8718,55762,1955588.1,13966817.2264,0
1662076800000,7.178,7.300,7.115,7.254,3516398.3,1662091199999,25313373.8913,53833,1856238.6,13367419.6831,0
1662091200000,7.255,7.297,7.193,7.269,2655912.3,1662105599999,19216422.7923,43175,1338707.2,9686261.1119,0
1662105600000,7.270,7.306,7.201,7.257,3838781.9,1662119999999,27857922.4748,52564,1779157.5,12912471.9423,0
1662120000000,7.256,7.563,7.239,7.537,8973988.7,1662134399999,66516300.5878,122725,4799113.6,35580378.9624,0
1662134400000,7.537,7.564,7.253,7.303,7694665.4,1662148799999,56923637.2532,106705,3689507.0,27315585.8930,0
1662148800000,7.303,7.373,7.269,7.293,2855732.1,1662163199999,20889470.4880,46199,1292538.2,9457810.0745,0
1662163200000,7.294,7.303,7.161,7.222,4610641.3,1662177599999,33410605.2278,64497,2096153.6,15192434.7730,0
1662177600000,7.222,7.304,7.170,7.230,3205661.9,1662191999999,23246612.1392,47036,1661931.7,12052509.3702,0
1662192000000,7.229,7.270,7.200,7.218,2118428.3,1662206399999,15334002.2629,38529,1030881.7,7463234.5045,0
1662206400000,7.218,7.291,7.212,7.245,2003803.0,1662220799999,14532589.6296,35146,1042910.2,7562645.4387,0
1662220800000,7.246,7.300,7.192,7.241,2034039.2,1662235199999,14755486.8029,37228,1061423.2,7699269.7903,0
1662235200000,7.242,7.286,7.231,7.282,1348044.6,1662249599999,9787003.2615,26283,648976.5,4711019.2616,0
1662249600000,7.282,7.400,7.271,7.301,3488622.6,1662263999999,25570818.8904,50436,1793643.3,13146550.8378,0
1662264000000,7.300,7.337,7.198,7.198,2692662.0,1662278399999,19614176.2166,37892,1100797.6,8023039.5438,0
1662278400000,7.199,7.278,7.136,7.274,3922296.6,1662292799999,28263680.3834,56062,1897738.7,13680073.9655,0
1662292800000,7.273,7.334,7.147,7.237,3826610.1,1662307199999,27712307.1232,57867,1896535.7,13742762.7758,0
1662307200000,7.237,7.294,7.199,7.272,2632846.4,1662321599999,19108354.6066,40419,1324887.5,9618040.6386,0
1662321600000,7.271,7.421,7.246,7.369,4400757.8,1662335999999,32257019.4950,60579,2384325.8,17478874.8641,0
1662336000000,7.369,7.590,7.369,7.582,7080319.9,1662350399999,53157573.3269,92966,3762079.7,28245402.4263,0
1662350400000,7.582,7.635,7.439,7.464,5843675.8,1662364799999,44007198.3920,81211,2763764.5,20821340.9189,0
1662364800000,7.464,7.546,7.433,7.485,5836463.3,1662379199999,43678028.6804,75643,3054447.8,22861764.2206,0
1662379200000,7.484,7.577,7.461,7.515,5661534.6,1662393599999,42576405.3242,73916,2736166.6,20580633.1114,0
1662393600000,7.515,7.553,7.256,7.269,7223219.3,1662407999999,53272728.3005,93870,3220444.5,23743392.3448,0
1662408000000,7.268,7.394,7.249,7.365,5361892.9,1662422399999,39210022.9063,69049,2800421.6,20476325.9429,0
1662422400000,7.364,7.672,7.361,7.525,10188127.4,1662436799999,76843305.9278,131332,5510449.4,41574355.1670,0
1662436800000,7.525,7.620,7.506,7.577,3541052.5,1662451199999,26804460.0470,54803,1831842.1,13867373.4069,0
1662451200000,7.578,7.689,7.531,7.616,4228559.5,1662465599999,32187753.2152,60969,2224364.9,16933469.9175,0
1662465600000,7.615,7.652,7.455,7.570,6552198.8,1662479999999,49504044.3561,89354,3172398.1,23976284.2543,0
1662480000000,7.570,7.590,6.868,6.916,15257185.3,1662494399999,109015160.6768,200244,7014570.6,50152622.6562,0
1662494400000,6.917,6.959,6.800,6.872,6364792.7,1662508799999,43905657.8295,88668,3340370.1,23042731.7447,0
1662508800000,6.872,6.930,6.736,6.871,6008295.2,1662523199999,41144628.5643,89330,3098255.7,21221054.2953,0
