open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1648771200000,16.922,17.085,16.151,16.454,3668485.10,1648785599999,60837724.90579,128793,1638895.02,27190800.73294,0
1648785600000,16.452,16.839,16.416,16.825,1569863.53,1648799999999,26063558.67623,65211,776357.45,12895814.68554,0
1648800000000,16.826,16.923,16.701,16.725,1811259.61,1648814399999,30465062.57219,64351,846497.94,14240365.29448,0
1648814400000,16.726,17.376,16.459,17.291,4045563.38,1648828799999,68714059.95392,120433,1973600.21,33530969.81763,0
1648828800000,17.290,17.344,17.081,17.232,1672898.28,1648843199999,28815034.02981,66620,827207.06,14252837.56956,0
1648843200000,17.228,17.368,17.045,17.352,1324166.10,1648857599999,22789086.33307,55823,670856.16,11549569.99313,0
1648857600000,17.353,17.596,17.191,17.301,2257809.16,1648871999999,39272328.11684,95566,1009881.59,17563448.81992,0
1648872000000,17.304,17.496,17.279,17.434,1183589.43,1648886399999,20598098.04263,59692,567934.40,9882872.22493,0
1648886400000,17.434,17.734,17.364,17.639,1836853.38,1648900799999,32333133.70052,77075,904260.44,15915932.16665,0
1648900800000,17.633,17.865,17.221,17.323,4016405.43,1648915199999,70536415.35483,121192,1829702.93,32144389.80034,0
1648915200000,17.322,17.540,17.091,17.398,2763691.60,1648929599999,47855909.37061,93460,1280876.24,22180202.24010,0
1648929600000,17.393,17.675,17.322,17.407,1850642.13,1648943999999,32426680.38994,77145,892176.30,15635185.85032,0
1648944000000,17.410,17.707,17.150,17.479,2634852.06,1648958399999,45903535.76889,99313,1259381.08,21937292.86197,0
1648958400000,17.479,17.974,17.448,17.812,3055068.27,1648972799999,54401670.73352,108199,1515564.14,26982973.31025,0
1648972800000,17.814,17.866,17.600,17.779,1617378.54,1648987199999,28674552.81109,73672,776416.69,13767357.92023,0
1648987200000,17.778,17.930,17.638,17.894,1813895.93,1649001599999,32253746.26075,78838,859596.43,15289566.37602,0
1649001600000,17.892,18.273,17.805,17.955,3293410.22,1649015999999,59492742.67956,127637,1530479.38,27647661.97787,0
1649016000000,17.958,18.324,17.888,18.082,2433414.13,1649030399999,44080411.96400,95467,1214584.30,22003949.99316,0
1649030400000,18.081,18.086,17.555,17.636,2761814.24,1649044799999,49019924.16958,95641,1290107.41,22900415.32165,0
1649044800000,17.636,17.955,17.583,17.859,1647956.10,1649059199999,29350781.82098,61583,786681.48,14008857.18207,0
1649059200000,17.859,17.891,17.303,17.509,2996366.96,1649073599999,52616241.68970,88247,1429645.25,25115828.23167,0
1649073600000,17.508,17.543,16.945,17.016,3110285.75,1649087999999,53798673.37387,100899,1446175.02,25033745.42931,0
1649088000000,17.016,17.254,16.810,17.226,2711633.72,1649102399999,46179051.54076,104808,1295110.47,22055966.52926,0
1649102400000,17.227,17.575,17.142,17.506,1916934.11,1649116799999,33330898.88393,75906,924255.96,16076461.42011,0
1649116800000,17.506,17.662,17.362,17.558,1329224.10,1649131199999,23246042.23898,54371,691212.34,12089072.91244,0
1649131200000,17.558,17.600,17.302,17.396,1076155.09,1649145599999,18787824.49033,46347,492658.61,8602061.32209,0
1649145600000,17.396,17.416,17.200,17.369,1705866.82,1649159999999,29495527.41321,54312,780104.76,13491842.54890,0
1649160000000,17.369,17.565,16.960,17.120,3246089.05,1649174399999,55886841.32132,106984,1533751.00,26401426.22048,0
1649174400000,17.120,17.244,16.936,17.130,1901566.44,1649188799999,32544674.24025,82692,800126.13,13696991.63896,0
