open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,68.95,69.31,68.01,68.33,380508.014,1698811199999,26146452.75035,56876,171404.264,11777946.59575,0
1698811200000,68.33,68.57,67.14,68.13,540820.114,1698825599999,36732068.88455,78127,270787.492,18396340.75932,0
1698825600000,68.13,68.35,67.63,68.04,303301.254,1698839999999,20630973.17031,46847,147291.361,10019516.45279,0
1698840000000,68.05,68.89,66.52,66.84,1071587.426,1698854399999,72487282.07207,151537,481844.929,32597627.54921,0
1698854400000,66.84,68.87,66.61,68.47,724686.153,1698868799999,49188713.63903,123331,361483.617,24538958.05628,0
1698868800000,68.47,70.53,68.47,70.04,866207.825,1698883199999,60434713.38800,128034,404066.344,28191945.45126,0
1698883200000,70.04,70.87,69.77,70.41,527127.951,1698897599999,37057624.22701,84344,261830.960,18408772.81604,0
1698897600000,70.42,70.71,69.21,69.88,736754.892,1698911999999,51593911.12957,96177,351417.539,24605471.28778,0
1698912000000,69.87,70.50,69.30,70.24,456306.022,1698926399999,31955431.18254,69220,230017.962,16104717.20291,0
1698926400000,70.23,70.66,68.51,68.62,1090542.713,1698940799999,76031202.59761,156441,519375.640,36217086.57215,0
1698940800000,68.63,69.62,67.36,69.58,710168.202,1698955199999,48674073.27265,113931,323233.599,22165585.35501,0
1698955200000,69.59,69.66,68.96,69.48,262679.793,1698969599999,18203763.25690,56505,121574.339,8425095.57369,0
1698969600000,69.47,69.63,67.49,68.77,454308.538,1698983999999,31125391.88924,94337,232408.197,15921744.67804,0
1698984000000,68.76,69.48,68.24,69.06,306976.021,1698998399999,21170208.65052,69536,148334.889,10229280.74434,0
1698998400000,69.07,69.28,68.04,68.66,370002.911,1699012799999,25398005.66843,75365,181694.655,12476197.96912,0
1699012800000,68.65,69.46,68.31,69.34,432919.018,1699027199999,29875448.65966,81656,207394.827,14316948.48306,0
1699027200000,69.33,69.45,68.55,69.06,276226.024,1699041599999,19052227.71545,56985,134099.978,9249067.82160,0
1699041600000,69.06,69.60,68.96,69.49,176181.708,1699055999999,12227494.40501,39864,88183.331,6120411.16345,0
1699056000000,69.50,69.72,69.12,69.71,180199.770,1699070399999,12510845.60361,42651,92567.785,6427957.66463,0
1699070400000,69.71,69.87,69.23,69.45,205482.087,1699084799999,14289792.24779,46479,92186.009,6411679.08411,0
1699084800000,69.45,70,69.30,69.60,238969.894,1699099199999,16660177.94576,47200,119750.718,8350331.02187,0
1699099200000,69.60,69.79,68.88,69.09,276202.606,1699113599999,19149235.22115,51561,122792.673,8512299.56945,0
1699113600000,69.10,69.26,68.77,68.99,192529.178,1699127999999,13290615.27713,44238,103829.985,7168092.86173,0
1699128000000,68.99,70.85,68.93,70.44,400097.598,1699142399999,28021149.45051,71541,219738.566,15391688.41055,0
1699142400000,70.45,71.53,69.91,71.43,513017.382,1699156799999,36242395.79888,88997,253997.439,17954129.26008,0
1699156800000,71.44,71.75,70.78,71.43,516661.295,1699171199999,36852947.11837,83981,245521.866,17518892.48490,0
1699171200000,71.43,72,70.92,71.50,454483.190,1699185599999,32465104.36063,77549,218827.589,15634723.73075,0
1699185600000,71.50,71.84,70.22,70.47,701635.294,1699199999999,49779395.78160,115713,324511.350,23025064.72265,0
1699200000000,70.47,72.37,70.38,71.85,553422.946,1699214399999,39613520.66047,101095,281579.508,20152044.47130,0
1699214400000,71.85,72.31,70.89,71.65,607381.834,1699228799999,43476247.60479,104041,291874.089,20895965.06309,0
1699228800000,71.65,72.76,71.35,71.74,456523.042,1699243199999,32865191.85616,93155,222698.679,16036082.30837,0
1699243200000,71.74,71.97,70.80,71.95,339049.624,1699257599999,24186080.09552,74003,172341.304,12294470.29422,0
1699257600000,71.95,72.95,71.43,72.75,552945.367,1699271999999,40044166.16876,104606,285301.985,20662499.09190,0
1699272000000,72.75,74.34,72.06,73.71,853406.791,1699286399999,62455638.98095,154272,443221.885,32446124.49529,0
1699286400000,73.72,74.33,73.22,74.27,551776.591,1699300799999,40681465.69639,106544,273473.098,20164599.13094,0
1699300800000,74.26,75,73.84,74.51,434765.089,1699315199999,32385462.04587,86901,207231.321,15439311.00071,0
1699315200000,74.51,74.56,72.53,73.24,581698.583,1699329599999,42747325.75724,123202,278297.036,20454797.80897,0
1699329600000,73.24,73.59,72.80,73.46,298429.285,1699343999999,21865779.70746,67093,143418.201,10508398.07340,0
1699344000000,73.47,74.63,72.30,72.81,1015416.645,1699358399999,74455007.57042,171016,493483.057,36193199.15773,0
1699358400000,72.80,73.10,71.45,71.96,635994.095,1699372799999,46035799.90564,131469,305906.409,22143150.08430,0
1699372800000,71.96,73.78,71.08,73.68,710648.310,1699387199999,51588542.39333,145004,352959.938,25634288.87266,0
1699387200000,73.69,74.34,73.23,73.46,425758.682,1699401599999,31408129.94514,93307,210314.710,15516218.15092,0
1699401600000,73.46,73.61,72.82,72.92,226032.871,1699415999999,16554578.19681,59174,106567.950,7806297.00375,0
1699416000000,72.92,73.74,72.53,73.67,335806.943,1699430399999,24534689.14579,69746,171546.070,12532501.74081,0
1699430400000,73.66,74.39,73.20,73.48,513958.917,1699444799999,37900736.22431,89048,247280.549,18233144.52256,0
