open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1711929600000,1.403600,1.410800,1.400200,1.407300,593808,1711943999999,835047.704300,12150,274259,385645.750400,0
1711944000000,1.407400,1.414200,1.344700,1.377500,2483084,1711958399999,3428544.961700,31692,1119676,1547221.324100,0
1711958400000,1.377400,1.377600,1.350400,1.365200,1023520,1711972799999,1393807.310500,20376,448844,611324.532300,0
1711972800000,1.365200,1.376800,1.321600,1.329600,1481256,1711987199999,2000954.025900,28461,723991,978647.969600,0
1711987200000,1.330000,1.340200,1.313500,1.339300,1040329,1712001599999,1377657.471500,23245,550006,728497.172700,0
1712001600000,1.339100,1.350400,1.333800,1.340800,429443,1712015999999,576241.605200,10852,204207,273886.564100,0
1712016000000,1.340800,1.345500,1.274200,1.282000,1711127,1712030399999,2237726.552100,31876,752586,983915.194900,0
1712030400000,1.282100,1.288000,1.263200,1.275400,1123015,1712044799999,1434796.694100,18261,472529,603713.867400,0
1712044800000,1.275400,1.277700,1.248600,1.262700,2061005,1712059199999,2596911.417000,38070,999103,1258622.004300,0
1712059200000,1.262700,1.280600,1.242500,1.256700,1250557,1712073599999,1577433.576300,25089,627837,792423.543700,0
1712073600000,1.257000,1.280500,1.249900,1.278100,928845,1712087999999,1175806.402400,17072,452606,573060.933600,0
1712088000000,1.278000,1.301400,1.271900,1.292400,985116,1712102399999,1267590.420600,15164,531097,683085.041400,0
1712102400000,1.292400,1.320900,1.264400,1.317800,1227724,1712116799999,1586555.582600,25558,587878,759645.760000,0
1712116800000,1.317800,1.349300,1.269600,1.280300,2830740,1712131199999,3714377.138800,37103,1274422,1670243.708100,0
1712131200000,1.280400,1.300000,1.271700,1.283200,1280165,1712145599999,1646705.540800,20410,693326,891601.010500,0
1712145600000,1.283200,1.288400,1.256100,1.264600,1259647,1712159999999,1602086.101200,22733,574150,729886.614100,0
1712160000000,1.264500,1.278700,1.248100,1.258500,1367504,1712174399999,1729338.013400,20136,640695,810874.036400,0
1712174400000,1.258000,1.278800,1.242000,1.272600,728743,1712188799999,918394.583400,12756,383561,483643.028400,0
1712188800000,1.272400,1.294300,1.259800,1.261500,575425,1712203199999,735109.767500,12759,251210,320877.126500,0
1712203200000,1.261500,1.279600,1.249000,1.275500,916472,1712217599999,1160256.089400,34703,572370,724602.880100,0
1712217600000,1.275500,1.289500,1.269700,1.283900,771177,1712231999999,986320.740500,12723,368728,472048.928800,0
1712232000000,1.284000,1.308100,1.282400,1.296500,825529,1712246399999,1072167.811500,14871,346752,450214.666700,0
1712246400000,1.296700,1.311500,1.292400,1.293600,1019055,1712260799999,1328601.641700,16231,532272,694116.797400,0
1712260800000,1.293500,1.294700,1.243800,1.264000,1681672,1712275199999,2129724.881500,22913,687317,870384.129300,0
1712275200000,1.264000,1.270300,1.235500,1.249900,967687,1712289599999,1211863.619900,15800,467807,586136.639800,0
1712289600000,1.249700,1.249900,1.232700,1.244000,1004344,1712303999999,1244042.352700,14465,439728,544890.900300,0
1712304000000,1.243700,1.256500,1.233300,1.233700,969349,1712318399999,1201243.427700,15837,414804,514287.186200,0
1712318400000,1.233600,1.260500,1.228500,1.260000,2011762,1712332799999,2503505.833700,29541,895235,1114920.817300,0
1712332800000,1.259700,1.268100,1.251400,1.257600,741907,1712347199999,933917.478100,13524,367936,462932.068100,0
1712347200000,1.257600,1.267100,1.254000,1.261900,573485,1712361599999,723186.947300,8943,271544,342507.906000,0
1712361600000,1.261900,1.273100,1.260900,1.270900,457268,1712375999999,579290.446800,9887,228466,289448.364400,0
1712376000000,1.271000,1.283700,1.271000,1.276600,395073,1712390399999,504735.431100,9029,173089,221167.261100,0
1712390400000,1.276600,1.282400,1.267700,1.270500,379392,1712404799999,483460.170700,8271,194825,248228.043000,0
1712404800000,1.270400,1.279900,1.260500,1.265900,671575,1712419199999,852360.694200,11552,263776,334917.716300,0
1712419200000,1.266100,1.277100,1.264800,1.269500,397564,1712433599999,505727.472900,9879,209176,266034.680500,0
1712433600000,1.269400,1.274900,1.256400,1.256900,847702,1712447999999,1071339.711300,13359,374957,473808.318400,0
1712448000000,1.256800,1.270000,1.253800,1.262700,691835,1712462399999,873597.140000,11893,345835,436775.715300,0
1712462400000,1.262500,1.268000,1.250400,1.255100,706597,1712476799999,889235.520100,10050,297675,374676.652300,0
1712476800000,1.255200,1.269100,1.245400,1.258800,1856570,1712491199999,2331775.599300,18468,884037,1110889.145000,0
1712491200000,1.258800,1.267100,1.250900,1.254100,1120879,1712505599999,1411850.591300,20320,546836,688948.009800,0
1712505600000,1.254200,1.261200,1.230000,1.234600,1614635,1712519999999,2007549.370100,23600,720667,895524.021100,0
1712520000000,1.234400,1.246900,1.230400,1.243500,1212380,1712534399999,1501328.159400,14694,604460,748462.272700,0
1712534400000,1.243300,1.248100,1.223400,1.239700,1247955,1712548799999,1544927.055900,18394,702310,870060.478500,0
1712548800000,1.239800,1.348400,1.238900,1.292600,9862056,1712563199999,12759940.303200,103074,4671230,6045917.792800,0
1712563200000,1.292500,1.317000,1.289100,1.307600,4013309,1712577599999,5244334.730200,43349,1903645,2488524.764100,0
1712577600000,1.307600,1.317700,1.289300,1.296500,2192431,1712591999999,2851231.350300,28262,996541,1295948.283200,0
1712592000000,1.296800,1.308000,1.295400,1.301100,1323945,1712606399999,1724098.052800,17447,649151,845291.696600,0
1712606400000,1.301000,1.312000,1.293300,1.304700,721617,1712620799999,939335.137600,12862,357793,465746.072000,0
1712620800000,1.304500,1.312400,1.283400,1.285800,778901,1712635199999,1009616.370100,14686,336410,436106.082100,0
